time_s,H2,H,O,O2,OH,H2O,HO2,H2O2,AR,N2
0.004745000000000305,0.007790747145443531,0.0008928734898822295,0.00028617392135900263,0.0030603047582277126,0.0036592227585558906,0.19883568729514942,4.929110698685117e-07,4.970668222892855e-08,0.0,0.7854744480136301
0.0047460000000003055,0.007790583945193771,0.0008928344674989999,0.00028616176525223105,0.0030602370300233865,0.0036591526103889943,0.19883593334122515,4.928951980672406e-07,4.970564742794279e-08,0.0,0.7854745542395719
0.004747000000000306,0.007790420883471676,0.0008927954792366336,0.0002861496197684348,0.0030601693594160075,0.0036590825217216877,0.1988361791777879,4.92879339969596e-07,4.9704613505820415e-08,0.0,0.7854746603746441
0.004748000000000306,0.007790257960166746,0.0008927565250703271,0.0002861374849003965,0.003060101746357633,0.0036590124925144005,0.19883642480499863,4.928634955631841e-07,4.970358046177404e-08,0.0,0.7854747664189159
0.004749000000000306,0.0077900951751494465,0.000892717604964011,0.00028612536063659467,0.003060034190795334,0.0036589425227068,0.19883667022305876,4.92847664835464e-07,4.970254829503323e-08,0.0,0.7854748723724759
0.004750000000000306,0.007789932528294076,0.0008926787188838446,0.00028611324696635666,0.0030599666926772067,0.0036588726122426477,0.19883691543216156,4.928318477739382e-07,4.9701517004825155e-08,0.0,0.7854749782354095
0.004751000000000306,0.007789770019478606,0.0008926398667981126,0.00028610114387981857,0.0030598992519523293,0.0036588027610696097,0.1988371604324929,4.928160443661511e-07,4.970048659037472e-08,0.0,0.7854750840077978
0.004752000000000306,0.0077896076485811086,0.0008926010486751316,0.00028608905136712687,0.003059831868569829,0.003658732969135399,0.1988374052242381,4.928002545996593e-07,4.969945705090754e-08,0.0,0.7854751896897217
0.0047530000000003065,0.007789445415479785,0.0008925622644832517,0.0002860769694184382,0.003059764542478881,0.0036586632363877817,0.1988376498075825,4.927844784620318e-07,4.969842838564996e-08,0.0,0.7854752952812627
0.004754000000000307,0.007789283320052935,0.0008925235141908551,0.00028606489802391916,0.003059697273628707,0.003658593562774568,0.19883789418271128,4.927687159408495e-07,4.9697400593829064e-08,0.0,0.7854754007825012
0.004755000000000307,0.0077891213621789895,0.0008924847977663564,0.0002860528371737466,0.0030596300619685794,0.0036585239482436237,0.19883813834980935,4.92752967023706e-07,4.9696373674672695e-08,0.0,0.7854755061935185
0.004756000000000307,0.007788959541736487,0.0008924461151782033,0.0002860407868581076,0.003059562907447818,0.0036584543927428606,0.19883838230906156,4.927372316982073e-07,4.969534762740939e-08,0.0,0.7854756115143956
0.004757000000000307,0.007788797858604075,0.000892407466394875,0.00028602874706719876,0.0030594958100157886,0.0036583848962202367,0.19883862606065247,4.927215099519709e-07,4.969432245126843e-08,0.0,0.7854757167452129
0.004758000000000307,0.0077886363126605275,0.0008923688513848841,0.0002860167177912275,0.0030594287696219073,0.003658315458623765,0.19883886960476657,4.92705801772627e-07,4.969329814547981e-08,0.0,0.785475821886051
0.004759000000000307,0.0077884749037847225,0.0008923302701167747,0.00028600469902041064,0.0030593617862156378,0.0036582460799015047,0.19883911294158807,4.926901071478183e-07,4.96922747092743e-08,0.0,0.7854759269369911
0.004760000000000307,0.007788313631855653,0.0008922917225591236,0.0002859926907449753,0.003059294859746489,0.0036581767600015608,0.19883935607130104,4.926744260651989e-07,4.969125214188332e-08,0.0,0.7854760318981129
0.0047610000000003075,0.007788152496752431,0.0008922532086805403,0.0002859806929551587,0.003059227990164022,0.003658107498872094,0.19883959899408946,4.926587585124356e-07,4.969023044253908e-08,0.0,0.7854761367694975
0.004762000000000308,0.007787991498354276,0.0008922147284496649,0.0002859687056412079,0.0030591611774178407,0.003658038296461306,0.1988398417101369,4.926431044772072e-07,4.968920961047447e-08,0.0,0.7854762415512246
